epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2061.97,1.31751,1.17523,0.98015,0.76257,0.85587,0.88479,0.60001,1.15717,0.96287,0.95441,0.00033032,0.00033032,0.00033032
43,2113.34,1.31805,1.14768,0.97414,0.76929,0.89235,0.89306,0.56994,1.24396,0.96771,0.97274,0.000324815,0.000324815,0.000324815
44,2163.64,1.26532,1.15098,0.96087,0.83835,0.87265,0.90448,0.603,1.20031,0.93562,0.96539,0.000319311,0.000319311,0.000319311
45,2214.11,1.31771,1.15379,0.97091,0.90188,0.84184,0.9068,0.5992,1.1941,0.90045,0.96211,0.000313806,0.000313806,0.000313806
46,2265.63,1.25996,1.11317,0.95548,0.89411,0.85192,0.95377,0.60962,1.20485,0.8943,0.96374,0.000308302,0.000308302,0.000308302
47,2317.78,1.27547,1.07184,0.95261,0.84148,0.85391,0.94546,0.62849,1.1814,0.92403,0.96105,0.000302798,0.000302798,0.000302798
48,2368.8,1.28018,1.07071,0.96587,0.84375,0.84422,0.96028,0.64853,1.14263,0.91274,0.957,0.000297293,0.000297293,0.000297293
49,2425.08,1.24361,1.07191,0.96274,0.88241,0.86167,0.96789,0.63692,1.15939,0.88379,0.96326,0.000291789,0.000291789,0.000291789
50,2475.64,1.25508,1.11029,0.96981,0.9178,0.84778,0.96456,0.62164,1.18333,0.86922,0.96467,0.000286284,0.000286284,0.000286284
51,2524.19,1.26739,1.09213,0.96346,0.90011,0.83996,0.96219,0.62015,1.18737,0.87628,0.96436,0.00028078,0.00028078,0.00028078
52,2572.41,1.23908,1.09249,0.95318,0.79343,0.96039,0.96576,0.64904,1.16703,0.83566,0.9608,0.000275276,0.000275276,0.000275276
53,2643.79,1.25924,1.05156,0.96421,0.78136,0.96688,0.96469,0.63329,1.16784,0.84393,0.96409,0.000269771,0.000269771,0.000269771
54,2763.85,1.22058,1.03493,0.9507,0.76255,0.97007,0.96416,0.63465,1.18808,0.84086,0.96174,0.000264267,0.000264267,0.000264267
55,2880.27,1.26339,1.05589,0.95928,0.78674,0.97441,0.96623,0.63539,1.21152,0.84184,0.96184,0.000258762,0.000258762,0.000258762
56,2990.43,1.2557,1.04265,0.96232,0.80289,0.90844,0.96641,0.66042,1.17744,0.86085,0.95967,0.000253258,0.000253258,0.000253258
57,3107.64,1.25058,1.00614,0.95501,0.85092,0.88589,0.96824,0.65418,1.17275,0.83555,0.95508,0.000247754,0.000247754,0.000247754
58,3205.22,1.26604,1.03128,0.96069,0.87924,0.89279,0.9702,0.65804,1.18317,0.8251,0.95359,0.000242249,0.000242249,0.000242249
59,3249.01,1.25201,1.01423,0.96138,0.86297,0.89819,0.9652,0.65457,1.176,0.86227,0.95594,0.000236745,0.000236745,0.000236745
60,3293.79,1.23787,1.01479,0.96157,0.76219,0.97855,0.96129,0.65421,1.16948,0.86326,0.95325,0.00023124,0.00023124,0.00023124
61,3342.08,1.26392,0.99938,0.95113,0.84943,0.98457,0.96505,0.66747,1.16838,0.83966,0.95293,0.000225736,0.000225736,0.000225736
62,3386.06,1.21425,0.99526,0.95118,0.87787,0.94039,0.96277,0.6658,1.17239,0.82067,0.95234,0.000220232,0.000220232,0.000220232
63,3428.78,1.22837,1.01551,0.96167,0.84406,0.97068,0.97035,0.63803,1.16444,0.82651,0.95604,0.000214727,0.000214727,0.000214727
64,3471.41,1.24267,1.00806,0.95416,0.91478,0.87098,0.96833,0.65121,1.18013,0.85379,0.96255,0.000209223,0.000209223,0.000209223
65,3515.06,1.22411,1.00396,0.94351,0.91848,0.85879,0.96501,0.64281,1.23076,0.8527,0.9654,0.000203718,0.000203718,0.000203718
66,3557.48,1.20985,0.97101,0.94982,0.92667,0.88392,0.97687,0.65234,1.18067,0.79132,0.95474,0.000198214,0.000198214,0.000198214
67,3602.61,1.20752,0.96132,0.93064,0.84687,0.97338,0.97351,0.65917,1.17841,0.80187,0.95422,0.00019271,0.00019271,0.00019271
68,3645.35,1.19526,0.97394,0.94139,0.90183,0.93673,0.96742,0.63263,1.21692,0.8495,0.95116,0.000187205,0.000187205,0.000187205
69,3688.21,1.18909,0.95461,0.94029,0.89795,0.92623,0.96911,0.62221,1.22974,0.85286,0.96042,0.000181701,0.000181701,0.000181701
70,3745.7,1.20267,0.96752,0.95239,0.82903,0.96843,0.97117,0.63822,1.21472,0.84284,0.96524,0.000176196,0.000176196,0.000176196
71,3879.73,1.22578,0.98846,0.95441,0.81289,0.98306,0.97009,0.63696,1.20808,0.83322,0.96502,0.000170692,0.000170692,0.000170692
72,4002.37,1.17876,0.91059,0.93777,0.85089,0.98577,0.97042,0.63638,1.19569,0.79353,0.95692,0.000165188,0.000165188,0.000165188
73,4138.01,1.18839,0.94316,0.93589,0.8767,0.9742,0.97361,0.65996,1.18072,0.79116,0.95608,0.000159683,0.000159683,0.000159683
74,4268.04,1.23184,0.94932,0.95512,0.907,0.96489,0.97556,0.65665,1.18262,0.79559,0.96063,0.000154179,0.000154179,0.000154179
75,4364.92,1.18765,0.94619,0.94491,0.90983,0.94724,0.97404,0.6604,1.16859,0.80799,0.95699,0.000148674,0.000148674,0.000148674
76,4519.52,1.2094,0.92339,0.93679,0.90397,0.93417,0.97043,0.63972,1.18552,0.82816,0.95831,0.00014317,0.00014317,0.00014317
77,4735.91,1.20437,0.90968,0.93751,0.89792,0.95435,0.97128,0.64115,1.17776,0.82044,0.95458,0.000137666,0.000137666,0.000137666
78,4898.36,1.18815,0.9296,0.93036,0.89348,0.96414,0.97253,0.65957,1.17156,0.79982,0.95363,0.000132161,0.000132161,0.000132161
79,4938.5,1.18574,0.91197,0.94889,0.89487,0.97221,0.97555,0.66223,1.17148,0.78469,0.95667,0.000126657,0.000126657,0.000126657
80,4980.72,1.18955,0.94395,0.94723,0.90671,0.97593,0.97528,0.63463,1.16871,0.7764,0.95515,0.000121152,0.000121152,0.000121152
81,5023.9,1.1931,0.86766,0.94281,0.90759,0.95714,0.97461,0.6298,1.1813,0.77759,0.95545,0.000115648,0.000115648,0.000115648
82,5066.63,1.17353,0.89734,0.9388,0.90172,0.96356,0.97751,0.66328,1.15196,0.7711,0.94623,0.000110144,0.000110144,0.000110144
83,5108.89,1.18996,0.90224,0.92906,0.87802,0.97647,0.97809,0.66879,1.17029,0.76165,0.9553,0.000104639,0.000104639,0.000104639
84,5151.8,1.17052,0.88832,0.94052,0.88727,0.97414,0.97849,0.65496,1.15282,0.75874,0.94948,9.91348e-05,9.91348e-05,9.91348e-05
85,5194.51,1.17499,0.91179,0.94406,0.87786,0.97423,0.97684,0.64637,1.17031,0.76421,0.94809,9.36304e-05,9.36304e-05,9.36304e-05
86,5237.42,1.16073,0.868,0.92938,0.85759,0.98968,0.97944,0.65508,1.16988,0.76281,0.95012,8.8126e-05,8.8126e-05,8.8126e-05
87,5280.89,1.1921,0.90074,0.94848,0.85235,0.98822,0.97878,0.65663,1.16808,0.75796,0.95266,8.26216e-05,8.26216e-05,8.26216e-05
88,5325.42,1.17012,0.92227,0.94105,0.88972,0.97622,0.98148,0.65523,1.14925,0.74828,0.94929,7.71172e-05,7.71172e-05,7.71172e-05
89,5368.66,1.13678,0.89399,0.92656,0.89708,0.96618,0.98108,0.64729,1.1543,0.74845,0.94848,7.16128e-05,7.16128e-05,7.16128e-05
90,5411.49,1.13109,0.8791,0.93641,0.91906,0.96532,0.98263,0.64661,1.16102,0.74025,0.94713,6.61084e-05,6.61084e-05,6.61084e-05
91,5454.4,1.12707,0.93083,0.93992,0.91059,0.96877,0.98112,0.65112,1.16759,0.7415,0.94795,6.0604e-05,6.0604e-05,6.0604e-05
92,5496.96,1.13658,0.90366,0.94481,0.92467,0.95906,0.9796,0.6378,1.18032,0.76028,0.94848,5.50996e-05,5.50996e-05,5.50996e-05
93,5537.8,1.13731,0.91093,0.94422,0.92471,0.95226,0.98243,0.63953,1.17474,0.75805,0.94682,4.95952e-05,4.95952e-05,4.95952e-05
94,5580.55,1.15583,0.90469,0.9454,0.91454,0.95773,0.97909,0.64725,1.16566,0.75156,0.94502,4.40908e-05,4.40908e-05,4.40908e-05
95,5623.41,1.11707,0.87655,0.95774,0.91421,0.95,0.97849,0.64515,1.16299,0.74943,0.94611,3.85864e-05,3.85864e-05,3.85864e-05
96,5665.25,1.12777,0.84934,0.94547,0.92337,0.93617,0.97879,0.6468,1.16019,0.74401,0.94707,3.3082e-05,3.3082e-05,3.3082e-05
97,5706,1.14248,0.86334,0.95023,0.93589,0.92142,0.98041,0.64996,1.16247,0.74053,0.94769,2.75776e-05,2.75776e-05,2.75776e-05
98,5747.21,1.11335,0.84613,0.9442,0.90913,0.94604,0.97759,0.64413,1.16427,0.74424,0.94574,2.20732e-05,2.20732e-05,2.20732e-05
99,5789.8,1.11641,0.85876,0.95539,0.91848,0.9373,0.97713,0.64884,1.16842,0.7459,0.94584,1.65688e-05,1.65688e-05,1.65688e-05
100,5831.53,1.08839,0.84054,0.94169,0.92569,0.93427,0.97724,0.64688,1.16799,0.74651,0.94411,1.10644e-05,1.10644e-05,1.10644e-05
